wp_id,articolo_uuid,id_numero,numero_uuid,action,status,note
9554,,OEL-45,,set,dry,
9556,,OEL-45,,set,dry,
9558,,OEL-45,,set,dry,
9564,,OEL-45,,set,dry,
9568,,OEL-45,,set,dry,
9571,,OEL-45,,set,dry,
9580,,OEL-45,,set,dry,
9584,,OEL-45,,set,dry,
9586,,OEL-45,,set,dry,
9592,,OEL-45,,set,dry,
9593,,OEL-45,,set,dry,
9597,,OEL-45,,set,dry,
9626,,OEL-46,,set,dry,
9618,,OEL-46,,set,dry,
9647,,OEL-46,,set,dry,
9650,,OEL-46,,set,dry,
9651,,OEL-46,,set,dry,
9654,,OEL-46,,set,dry,
9660,,OEL-46,,set,dry,
9664,,OEL-46,,set,dry,
9681,,OEL-47,,set,dry,
9708,,OEL-47,,set,dry,
9713,,OEL-47,,set,dry,
9715,,OEL-47,,set,dry,
9717,,OEL-47,,set,dry,
9720,,OEL-47,,set,dry,
9856,,null,,null,dry,
9723,,OEL-47,,set,dry,
9727,,OEL-47,,set,dry,
9743,,null,,null,dry,
9766,,OEL-48,,set,dry,
9789,,OEL-48,,set,dry,
9791,,OEL-48,,set,dry,
9793,,OEL-48,,set,dry,
9803,,OEL-48,,set,dry,
9805,,OEL-48,,set,dry,
9807,,OEL-48,,set,dry,
9809,,OEL-48,,set,dry,
9812,,OEL-48,,set,dry,
9814,,OEL-48,,set,dry,
9820,,OEL-48,,set,dry,
9823,,OEL-48,,set,dry,
9825,,OEL-48,,set,dry,
9832,,null,,null,dry,
9848,,null,,null,dry,
9881,,OEL-49,,set,dry,
9902,,OEL-49,,set,dry,
9907,,OEL-49,,set,dry,
9912,,OEL-49,,set,dry,
9914,,OEL-49,,set,dry,
9918,,OEL-49,,set,dry,
9923,,OEL-49,,set,dry,
9930,,OEL-49,,set,dry,
9926,,OEL-49,,set,dry,
9932,,OEL-49,,set,dry,
9962,,null,,null,dry,
9976,,null,,null,dry,
10075,,OEL-50,,set,dry,
10107,,OEL-143,,set,dry,
9984,,null,,null,dry,
10001,,OEL-50,,set,dry,
10010,,OEL-50,,set,dry,
10016,,OEL-50,,set,dry,
10018,,OEL-50,,set,dry,
10021,,OEL-50,,set,dry,
10023,,OEL-50,,set,dry,
10025,,OEL-50,,set,dry,
10050,,OEL-50,,set,dry,
10054,,OEL-50,,set,dry,
10057,,OEL-50,,set,dry,
10059,,OEL-50,,set,dry,
10061,,OEL-50,,set,dry,
10063,,OEL-50,,set,dry,
10065,,OEL-50,,set,dry,
10068,,OEL-50,,set,dry,
10547,,null,,null,dry,
10119,,OEL-51,,set,dry,
10124,,OEL-51,,set,dry,
10126,,OEL-51,,set,dry,
10131,,OEL-51,,set,dry,
10151,,OEL-51,,set,dry,
10153,,OEL-51,,set,dry,
10155,,OEL-51,,set,dry,
10159,,OEL-51,,set,dry,
10163,,OEL-51,,set,dry,
10166,,OEL-51,,set,dry,
10839,,OEL-55,,set,dry,
10844,,OEL-55,,set,dry,
10306,,OEL-143,,set,dry,
10835,,OEL-55,,set,dry,
10326,,OEL-112,,set,dry,
10331,,OEL-143,,set,dry,
10511,,OEL-53,,set,dry,
10336,,null,,null,dry,
10830,,OEL-55,,set,dry,
10402,,OEL-52,,set,dry,
10409,,OEL-52,,set,dry,
10411,,OEL-52,,set,dry,
10415,,OEL-52,,set,dry,
10420,,OEL-52,,set,dry,
10424,,OEL-52,,set,dry,
10429,,OEL-52,,set,dry,
10943,,null,,null,dry,
10437,,OEL-52,,set,dry,
10444,,OEL-52,,set,dry,
10447,,OEL-52,,set,dry,
10461,,OEL-53,,set,dry,
10472,,null,,null,dry,
10475,,OEL-53,,set,dry,
10482,,OEL-53,,set,dry,
10864,,OEL-55,,set,dry,
10488,,OEL-53,,set,dry,
10490,,OEL-53,,set,dry,
