id,slug,lang,categoria_old,categoria_new,action,note
1cd12122-424a-43ee-8c15-677d1801d4c0,e-ci-aiutiamo-a-camminare,it,Fede e Luce,fede-e-luce,dry,
0a36d810-f6cc-4453-8f83-abe48f70f8f2,10-anni-di-ombre-e-luci-piu-che-una-rivista-una-grande-famig,it,Fede e Luce,fede-e-luce,dry,
effad89a-7b17-42f0-bd3b-61d0f4b704b7,vita-fede-e-luce-n-42,it,Fede e Luce,fede-e-luce,dry,
0b75b2d8-2b9e-426e-971b-c8a19ba3386f,dialogo-aperto-n-42,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
04bdce7a-c04b-4a5c-a003-04518e838bfa,il-bambino-che-non-sentiva-dolore,it,Cultura,cultura,dry,
a7a787f1-c697-4544-af30-9bd89cc5e1b6,pagine-aperte-esperienze-di-solidarieta-a-parma-e-provincia-,it,Cultura,cultura,dry,
34620c05-e3d0-4fff-9252-be6d9ec53843,il-grande-cocomero,it,Cultura,cultura,dry,
e9b7d91d-cf0e-4a17-8882-8ba087df7274,le-eta-della-vita,it,Cultura,cultura,dry,
b0cb0426-8942-465f-a2df-89527270878e,nessuno-in-nessun-luogo,it,Cultura,cultura,dry,
b151d884-9d9d-4dda-9232-2962d28eed21,un-marinaio-in-treno,it,Spiritualità,spiritualita,dry,
9f4cb590-0e40-412a-801e-10deddc0ab87,lalfabeto-della-mia-vita,it,Cultura,cultura,dry,
eeb08d85-b01d-4476-bae8-ecce90fff62f,dovra-stare-in-un-ambiente-protetto,it,,,skip_null,
bf5fbb99-69dd-4174-baf6-11b5ff32b61a,vivere-con-rifiutati,it,Fede e Luce,fede-e-luce,dry,
d97d4b87-cc2b-4b13-85ac-78610cec0950,faccio-io,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
18edb49a-6229-41be-91c6-37b85c3e0d24,grazie-per-avermelo-fatto-fare-da-sola,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
ec6e1d40-4cc6-4df8-b10d-2361981fabd2,faccio-il-viaggio-da-sola,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
ce733d60-db82-4034-9762-79922700386a,membro-attivo-della-chiesa,it,Spiritualità,spiritualita,dry,
bbd4646c-f567-4a22-a81d-82fe50330644,possibilita-e-capacita-nascoste,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
929d7193-2668-494e-9a6e-13289b625894,io-ho-pulito-il-tavolo,it,Fede e Luce,fede-e-luce,dry,
3472ffde-94b0-4d77-b4b4-a3f50516a0ea,non-e-mai-troppo-tardi,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
54c796a2-1e76-431c-ac43-0ed597554ca5,ricompense-o-punizioni,it,Spiritualità,spiritualita,dry,
929b7a23-7008-4eeb-ad2e-8c18ca9fd822,nonostante-lhandicap,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
a087d056-f19e-476c-81f3-77b29aea80fe,vita-fede-e-luce-n-43-seminario-sulla-catechesi-delle-person,it,Famiglia,,unknown,Valore non mappato: 'Famiglia' — aggiungere a categorie.json o assegnare manualmente
296fd8a8-17c4-46ea-a05d-64a12e9bb2c4,cammino-di-preghiera,it,Cultura,cultura,dry,
02bbc330-85fd-4ece-984b-6fd40292d3eb,la-cinquataseiesima-colonna-uno-strumento-concreto-di-autofo,it,Cultura,cultura,dry,
510615b2-08be-48e6-8bbf-3544d5bb4e94,si-fa-sera,it,Fede e Luce,fede-e-luce,dry,
1c46e650-65a9-4603-9c71-c216110bf1d5,prima-di-andare-a-letto,it,Spiritualità,spiritualita,dry,
c2803d7d-524b-4531-a632-74f3b3e6109a,e-la-vita-eplodera-itinerari-didattico-educativi-per-linsegn,it,Cultura,cultura,dry,
b8e72d6b-b91d-4f92-a481-48a44279fd64,dialogo-aperto-n-43,it,Fede e Luce,fede-e-luce,dry,
cb9a90f5-bd6f-4fc0-b2cd-924a4e16c59d,quando-i-genitori-si-rimboccano-le-maniche,it,Progetti,,unknown,Valore non mappato: 'Progetti' — aggiungere a categorie.json o assegnare manualmente
bcccff71-2f9c-4e91-9730-d08e691b5081,proviamo-unaltra-volta,it,Fede e Luce,fede-e-luce,dry,
d2cb07c2-9bd0-43a7-b030-84449aa6b643,di-notte-bagna,it,Spiritualità,spiritualita,dry,
